2021-04-01 01:23:45 configure base-files:amd64 11ubuntu5 <none>
2021-04-01 01:23:45 status unpacked base-files:amd64 11ubuntu5
2021-04-01 01:23:45 status half-configured base-files:amd64 11ubuntu5
2021-04-01 01:23:45 status installed base-files:amd64 11ubuntu5
2021-04-01 01:23:45 configure libbz2-1.0:amd64 1.0.8-2 <none>
2021-04-01 01:23:45 status unpacked libbz2-1.0:amd64 1.0.8-2
2021-04-01 01:23:45 status half-configured libbz2-1.0:amd64 1.0.8-2
2021-04-01 01:23:45 status installed libbz2-1.0:amd64 1.0.8-2
2021-04-01 01:23:45 configure base-passwd:amd64 3.5.47 <none>
2021-04-01 01:23:45 status unpacked base-passwd:amd64 3.5.47
2021-04-01 01:23:45 status half-configured base-passwd:amd64 3.5.47
2021-04-01 01:23:45 status installed base-passwd:amd64 3.5.47
2021-04-01 01:23:45 configure libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2 <none>
2021-04-01 01:23:45 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2021-04-01 01:23:45 status half-configured libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2021-04-01 01:23:45 status installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2021-04-01 01:23:45 configure libblkid1:amd64 2.34-0.1ubuntu9 <none>
